"","city","state","contestant","season","rank","missc","episode","outcome","eliminated","participant","minichalw","finale","penultimate","age","dob","lat","lng","finalist","winner","first_eliminated"
"1","Acworth","Georgia","Aiden Zhane","S12",9,"0",6,"BTM","1","1","0",0,0,29,1990-07-16,34.0566,-84.6716,NA,NA,NA
"2","Acworth","Georgia","Aiden Zhane","S12",9,"0",10,NA,NA,"0",NA,0,0,29,1990-07-16,34.0566,-84.6716,NA,NA,NA
"3","Acworth","Georgia","Aiden Zhane","S12",9,"0",7,NA,NA,"0",NA,0,0,29,1990-07-16,34.0566,-84.6716,NA,NA,NA
"4","Acworth","Georgia","Aiden Zhane","S12",9,"0",14,NA,NA,"0",NA,1,0,29,1990-07-16,34.0566,-84.6716,NA,NA,NA
"5","Acworth","Georgia","Aiden Zhane","S12",9,"0",12,NA,NA,"0",NA,0,0,29,1990-07-16,34.0566,-84.6716,NA,NA,NA
"6","Acworth","Georgia","Aiden Zhane","S12",9,"0",11,NA,NA,"0",NA,0,0,29,1990-07-16,34.0566,-84.6716,NA,NA,NA
"7","Acworth","Georgia","Aiden Zhane","S12",9,"0",4,"LOW","0","1","0",0,0,29,1990-07-16,34.0566,-84.6716,NA,NA,NA
"8","Acworth","Georgia","Aiden Zhane","S12",9,"0",5,"HIGH","0","1","0",0,0,29,1990-07-16,34.0566,-84.6716,NA,NA,NA
"9","Acworth","Georgia","Aiden Zhane","S12",9,"0",1,NA,NA,"0",NA,0,0,29,1990-07-16,34.0566,-84.6716,NA,NA,NA
"10","Acworth","Georgia","Aiden Zhane","S12",9,"0",13,NA,NA,"0",NA,0,0,29,1990-07-16,34.0566,-84.6716,NA,NA,NA
"11","Acworth","Georgia","Aiden Zhane","S12",9,"0",9,NA,NA,"0",NA,0,0,29,1990-07-16,34.0566,-84.6716,NA,NA,NA
"12","Acworth","Georgia","Aiden Zhane","S12",9,"0",2,"HIGH","0","1","0",0,0,29,1990-07-16,34.0566,-84.6716,NA,NA,NA
"13","Acworth","Georgia","Aiden Zhane","S12",9,"0",8,NA,NA,"0",NA,0,0,29,1990-07-16,34.0566,-84.6716,NA,NA,NA
"14","Acworth","Georgia","Aiden Zhane","S12",9,"0",3,"SAFE","0","1","0",0,0,29,1990-07-16,34.0566,-84.6716,NA,NA,NA
"15","Albuquerque","New Mexico","Kalorie Karbdashian Williams","S10",13,"0",1,"BTM","0","1","0",0,0,27,1990-05-23,35.1054,-106.6465,NA,NA,NA
"16","Albuquerque","New Mexico","Kalorie Karbdashian Williams","S10",13,"0",6,NA,NA,"0",NA,0,0,27,1990-05-23,35.1054,-106.6465,NA,NA,NA
"17","Albuquerque","New Mexico","Kalorie Karbdashian Williams","S10",13,"0",7,NA,NA,"0",NA,0,0,27,1990-05-23,35.1054,-106.6465,NA,NA,NA
"18","Albuquerque","New Mexico","Kalorie Karbdashian Williams","S10",13,"0",3,NA,NA,"0",NA,0,0,27,1990-05-23,35.1054,-106.6465,NA,NA,NA
"19","Albuquerque","New Mexico","Kalorie Karbdashian Williams","S10",13,"0",9,NA,NA,"0",NA,0,0,27,1990-05-23,35.1054,-106.6465,NA,NA,NA
"20","Albuquerque","New Mexico","Kalorie Karbdashian Williams","S10",13,"0",11,NA,NA,"0",NA,0,0,27,1990-05-23,35.1054,-106.6465,NA,NA,NA
"21","Albuquerque","New Mexico","Kalorie Karbdashian Williams","S10",13,"0",8,NA,NA,"0",NA,0,0,27,1990-05-23,35.1054,-106.6465,NA,NA,NA
"22","Albuquerque","New Mexico","Kalorie Karbdashian Williams","S10",13,"0",5,NA,NA,"0",NA,0,0,27,1990-05-23,35.1054,-106.6465,NA,NA,NA
"23","Albuquerque","New Mexico","Kalorie Karbdashian Williams","S10",13,"0",14,NA,NA,"0",NA,1,0,27,1990-05-23,35.1054,-106.6465,NA,NA,NA
"24","Albuquerque","New Mexico","Kalorie Karbdashian Williams","S10",13,"0",10,NA,NA,"0",NA,0,0,27,1990-05-23,35.1054,-106.6465,NA,NA,NA
"25","Albuquerque","New Mexico","Kalorie Karbdashian Williams","S10",13,"0",4,NA,NA,"0",NA,0,0,27,1990-05-23,35.1054,-106.6465,NA,NA,NA
"26","Albuquerque","New Mexico","Kalorie Karbdashian Williams","S10",13,"0",2,"BTM","1","1","0",0,0,27,1990-05-23,35.1054,-106.6465,NA,NA,NA
"27","Atlanta","Georgia","Sonique","S02",9,"0",4,"BTM","1","1","0",0,0,26,1983-05-02,33.7628,-84.422,NA,NA,NA
"28","Atlanta","Georgia","Mariah","S03",9,"0",9,NA,NA,"0",NA,0,0,29,1982-02-13,33.7628,-84.422,NA,NA,NA
"29","Atlanta","Georgia","Sonique","S02",9,"0",5,NA,NA,"0",NA,0,0,26,1983-05-02,33.7628,-84.422,NA,NA,NA
"30","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",13,"SAFE","0","1","0",0,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"31","Atlanta","Georgia","Mariah","S03",9,"0",8,NA,NA,"0",NA,0,0,29,1982-02-13,33.7628,-84.422,NA,NA,NA
"32","Atlanta","Georgia","Sonique","S02",9,"0",6,NA,NA,"0",NA,0,0,26,1983-05-02,33.7628,-84.422,NA,NA,NA
"33","Atlanta","Georgia","Violet Chachki","S07",1,"0",9,"LOW","0","1","0",0,0,22,1992-06-13,33.7628,-84.422,1,1,NA
"34","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",8,"SAFE","0","1","0",0,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"35","Atlanta","Georgia","Tamisha Iman","S13",11,"0",8,NA,NA,"0",NA,0,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
"36","Atlanta","Georgia","Tamisha Iman","S13",11,"0",7,NA,NA,"0",NA,0,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
